name,date_of_birth,place_of_birth,team,season_start_year,season_end_year,competition,competitionNation,Foreign,Colony,Language,latitude,longitude
1,24/5/96,Algeria,lille-osc,2017,2018,Ligue 1,France,foreign,France,Arabic,28.033886,1.659626
1,8/9/94,Algeria,lille-osc,2017,2018,Ligue 1,France,foreign,France,Arabic,28.033886,1.659626
1,3/5/95,Netherlands,lille-osc,2017,2018,Ligue 1,France,foreign,Germany,Dutch/English,52.132633,5.291266
1,28/1/96,South Africa,lille-osc,2017,2018,Ligue 1,France,foreign,United Kingdom,English,-30.559482,22.937506
1,1/1/94,Guinea,toulouse-fc,2017,2018,Ligue 1,France,foreign,France,French,9.945587,-9.696645
1,16/12/92,Burkina Faso,toulouse-fc,2017,2018,Ligue 1,France,foreign,France,French,12.238333,-1.561593
1,28/11/88,Congo,dijon-fco,2017,2018,Ligue 1,France,foreign,France,French,-0.228021,15.827659
1,16/10/86,Morocco,dijon-fco,2017,2018,Ligue 1,France,foreign,France,Arabic,31.791702,-7.09262
1,1/12/88,Senegal,dijon-fco,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,28/1/92,Tunisia,dijon-fco,2017,2018,Ligue 1,France,foreign,France,Arabic,33.886917,9.537499
1,30/6/94,South Korea,dijon-fco,2017,2018,Ligue 1,France,foreign,Other Countries,Korean,35.907757,127.766922
1,27/7/92,Tunisia,dijon-fco,2017,2018,Ligue 1,France,foreign,France,Arabic,33.886917,9.537499
1,22/6/91,Cameroon,montpellier-hsc,2017,2018,Ligue 1,France,foreign,Germany,English/French,7.369722,12.354722
1,22/1/93,South Africa,montpellier-hsc,2017,2018,Ligue 1,France,foreign,United Kingdom,English,-30.559482,22.937506
1,10/5/95,Tunisia,montpellier-hsc,2017,2018,Ligue 1,France,foreign,France,Arabic,33.886917,9.537499
1,22/12/82,Senegal,montpellier-hsc,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,8/3/96,Belgium,montpellier-hsc,2017,2018,Ligue 1,France,foreign,Germany,Dutch/French,50.503887,4.469936
1,17/5/93,Chad,montpellier-hsc,2017,2018,Ligue 1,France,foreign,France,Arabic,15.454166,18.732207
1,9/10/95,Netherlands,olympique-lyon,2017,2018,Ligue 1,France,foreign,Germany,Dutch/English,52.132633,5.291266
1,13/2/94,Netherlands,olympique-lyon,2017,2018,Ligue 1,France,foreign,Germany,Dutch/English,52.132633,5.291266
1,6/9/95,Burkina Faso,olympique-lyon,2017,2018,Ligue 1,France,foreign,France,French,12.238333,-1.561593
1,21/10/82,Algeria,nimes-olympique,2017,2018,Ligue 1,France,foreign,France,Arabic,28.033886,1.659626
1,18/6/92,Morocco,nimes-olympique,2017,2018,Ligue 1,France,foreign,France,Arabic,31.791702,-7.09262
1,30/3/92,Senegal,stade-rennes,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,30/3/92,Senegal,stade-rennes,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,1/6/96,Lithuania,stade-rennes,2017,2018,Ligue 1,France,foreign,Other Countries,Lithuanian,55.169438,23.881275
1,26/8/92,Czech Republic,stade-rennes,2017,2018,Ligue 1,France,foreign,Other Countries,Czech,49.817492,15.472962
1,16/4/95,Algeria,stade-rennes,2017,2018,Ligue 1,France,foreign,France,Arabic,28.033886,1.659626
1,8/9/88,Mozambique,stade-rennes,2017,2018,Ligue 1,France,foreign,Other Countries,Portuguese,-18.665695,35.529562
1,27/1/92,Mali,stade-rennes,2017,2018,Ligue 1,France,foreign,France,French,17.570692,-3.996166
1,8/2/91,Tunisia,stade-rennes,2017,2018,Ligue 1,France,foreign,France,Arabic,33.886917,9.537499
1,24/12/89,Senegal,stade-rennes,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,25/2/98,Senegal,stade-rennes,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,3/8/97,Cameroon,stade-reims,2017,2018,Ligue 1,France,foreign,Germany,English/French,7.369722,12.354722
1,1/10/97,Cameroon,stade-reims,2017,2018,Ligue 1,France,foreign,Germany,English/French,7.369722,12.354722
1,5/3/94,Gambia,stade-reims,2017,2018,Ligue 1,France,foreign,United Kingdom,English,13.443182,-15.310139
1,8/12/95,Senegal,ogc-nice,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,25/6/97,Tunisia,ogc-nice,2017,2018,Ligue 1,France,foreign,France,Arabic,33.886917,9.537499
1,16/2/99,Cameroon,ogc-nice,2017,2018,Ligue 1,France,foreign,Germany,English/French,7.369722,12.354722
1,4/11/88,Congo,angers-sco,2017,2018,Ligue 1,France,foreign,France,French,-0.228021,15.827659
1,9/6/90,Croatia,angers-sco,2017,2018,Ligue 1,France,foreign,Other Countries,Croatian,45.1,15.2
1,10/4/96,Mali,angers-sco,2017,2018,Ligue 1,France,foreign,France,French,17.570692,-3.996166
1,21/1/89,Congo,angers-sco,2017,2018,Ligue 1,France,foreign,France,French,-0.228021,15.827659
1,16/6/95,Belgium,angers-sco,2017,2018,Ligue 1,France,foreign,Germany,Dutch/French,50.503887,4.469936
1,30/3/91,Togo,angers-sco,2017,2018,Ligue 1,France,foreign,Germany,French,8.619543,0.824782
1,14/9/92,Cameroon,angers-sco,2017,2018,Ligue 1,France,foreign,Germany,English/French,7.369722,12.354722
1,25/4/94,Congo,sm-caen,2017,2018,Ligue 1,France,foreign,France,French,-0.228021,15.827659
1,28/10/87,Haiti,sm-caen,2017,2018,Ligue 1,France,foreign,Other Countries,French,18.971187,-72.285215
1,1/12/93,Senegal,sm-caen,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,20/3/92,Guinea,sm-caen,2017,2018,Ligue 1,France,foreign,France,French,9.945587,-9.696645
1,7/7/96,Morocco,sm-caen,2017,2018,Ligue 1,France,foreign,France,Arabic,31.791702,-7.09262
1,25/9/97,Congo,sm-caen,2017,2018,Ligue 1,France,foreign,France,French,-0.228021,15.827659
1,9/2/92,Belgium,sm-caen,2017,2018,Ligue 1,France,foreign,Germany,Dutch/French,50.503887,4.469936
1,19/3/97,Slovenia,sm-caen,2017,2018,Ligue 1,France,foreign,Other Countries,Slovene,46.151241,14.995463
1,18/3/90,Haiti,sm-caen,2017,2018,Ligue 1,France,foreign,Other Countries,French,18.971187,-72.285215
1,7/2/96,Mali,sm-caen,2017,2018,Ligue 1,France,foreign,France,French,17.570692,-3.996166
1,21/5/89,Croatia,sm-caen,2017,2018,Ligue 1,France,foreign,Other Countries,Croatian,45.1,15.2
1,17/7/99,Finland,sm-caen,2017,2018,Ligue 1,France,foreign,Other Countries,Finnish,61.92411,25.748151
1,23/7/88,Senegal,as-saint-etienne,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,20/9/97,Senegal,as-saint-etienne,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,7/7/94,Norway,as-saint-etienne,2017,2018,Ligue 1,France,foreign,Other Countries,Norwegian,60.472024,8.468946
1,17/6/91,Slovenia,as-saint-etienne,2017,2018,Ligue 1,France,foreign,Other Countries,Slovene,46.151241,14.995463
1,23/3/94,Morocco,as-saint-etienne,2017,2018,Ligue 1,France,foreign,France,Arabic,31.791702,-7.09262
1,27/10/84,Croatia,as-monaco,2017,2018,Ligue 1,France,foreign,Other Countries,Croatian,45.1,15.2
1,12/12/95,Senegal,as-monaco,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,3/2/88,Poland,as-monaco,2017,2018,Ligue 1,France,foreign,Germany,Polish,51.919438,19.145136
1,28/4/96,Mali,as-monaco,2017,2018,Ligue 1,France,foreign,France,French,17.570692,-3.996166
1,7/5/97,Belgium,as-monaco,2017,2018,Ligue 1,France,foreign,Germany,Dutch/French,50.503887,4.469936
1,28/6/95,Mali,as-monaco,2017,2018,Ligue 1,France,foreign,France,French,17.570692,-3.996166
1,8/3/95,Senegal,as-monaco,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,20/9/99,Belgium,as-monaco,2017,2018,Ligue 1,France,foreign,Germany,Dutch/French,50.503887,4.469936
1,9/5/92,Algeria,as-monaco,2017,2018,Ligue 1,France,foreign,France,Arabic,28.033886,1.659626
1,10/7/98,Cameroon,rc-strasbourg,2017,2018,Ligue 1,France,foreign,Germany,English/French,7.369722,12.354722
1,27/4/88,Burkina Faso,rc-strasbourg,2017,2018,Ligue 1,France,foreign,France,French,12.238333,-1.561593
1,23/3/83,Senegal,rc-strasbourg,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,20/12/93,Senegal,rc-strasbourg,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,7/8/99,Tunisia,rc-strasbourg,2017,2018,Ligue 1,France,foreign,France,Arabic,33.886917,9.537499
1,8/2/92,Algeria,rc-strasbourg,2017,2018,Ligue 1,France,foreign,France,Arabic,28.033886,1.659626
1,1/1/97,Nigeria,fc-nantes,2017,2018,Ligue 1,France,foreign,United Kingdom,English,9.081999,8.675277
1,21/5/90,Slovenia,fc-nantes,2017,2018,Ligue 1,France,foreign,Other Countries,Slovene,46.151241,14.995463
1,11/9/91,Morocco,fc-nantes,2017,2018,Ligue 1,France,foreign,France,Arabic,31.791702,-7.09262
1,21/8/91,Mali,fc-nantes,2017,2018,Ligue 1,France,foreign,France,French,17.570692,-3.996166
1,12/7/90,Belgium,fc-nantes,2017,2018,Ligue 1,France,foreign,Germany,Dutch/French,50.503887,4.469936
1,8/8/94,Belgium,fc-nantes,2017,2018,Ligue 1,France,foreign,Germany,Dutch/French,50.503887,4.469936
1,21/4/87,Burkina Faso,fc-nantes,2017,2018,Ligue 1,France,foreign,France,French,12.238333,-1.561593
1,7/3/93,Senegal,fc-nantes,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,14/3/90,Iceland,fc-nantes,2017,2018,Ligue 1,France,foreign,Other Countries,Icelandic,64.963051,-19.020835
1,28/7/85,Benin,amiens-sc,2017,2018,Ligue 1,France,foreign,France,French,9.30769,2.315834
1,23/2/85,Senegal,amiens-sc,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,11/8/89,Mali,amiens-sc,2017,2018,Ligue 1,France,foreign,France,French,17.570692,-3.996166
1,19/2/91,Morocco,amiens-sc,2017,2018,Ligue 1,France,foreign,France,Arabic,31.791702,-7.09262
1,11/1/85,Cameroon,amiens-sc,2017,2018,Ligue 1,France,foreign,Germany,English/French,7.369722,12.354722
1,9/10/92,South Africa,amiens-sc,2017,2018,Ligue 1,France,foreign,United Kingdom,English,-30.559482,22.937506
1,7/5/87,Togo,amiens-sc,2017,2018,Ligue 1,France,foreign,Germany,French,8.619543,0.824782
1,15/4/94,Niger,amiens-sc,2017,2018,Ligue 1,France,foreign,France,French,17.607789,8.081666
1,3/4/93,Senegal,amiens-sc,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,30/5/85,Poland,girondins-bordeaux,2017,2018,Ligue 1,France,foreign,Germany,Polish,51.919438,19.145136
1,5/3/93,Senegal,girondins-bordeaux,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,5/10/95,Benin,girondins-bordeaux,2017,2018,Ligue 1,France,foreign,France,French,9.30769,2.315834
1,5/1/82,Czech Republic,girondins-bordeaux,2017,2018,Ligue 1,France,foreign,Other Countries,Czech,49.817492,15.472962
1,10/9/89,Senegal,girondins-bordeaux,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,1/5/96,Guinea,girondins-bordeaux,2017,2018,Ligue 1,France,foreign,France,French,9.945587,-9.696645
1,19/4/97,Cameroon,ea-guingamp,2017,2018,Ligue 1,France,foreign,Germany,English/French,7.369722,12.354722
1,14/5/86,Senegal,ea-guingamp,2017,2018,Ligue 1,France,foreign,France,French,14.497401,-14.452362
1,9/11/94,South Africa,ea-guingamp,2017,2018,Ligue 1,France,foreign,United Kingdom,English,-30.559482,22.937506
1,20/2/90,Guinea,ea-guingamp,2017,2018,Ligue 1,France,foreign,France,French,9.945587,-9.696645
1,24/6/92,Austria,bayern-muenchen,2017,2018,Bundesliga,Germany,foreign,Germany,German,47.516231,14.550072
1,21/8/88,Poland,bayern-muenchen,2017,2018,Bundesliga,Germany,foreign,Germany,Polish,51.919438,19.145136
1,23/1/84,Netherlands,bayern-muenchen,2017,2018,Bundesliga,Germany,foreign,Germany,Dutch/English,52.132633,5.291266
1,10/7/94,Ghana,bayern-muenchen,2017,2018,Bundesliga,Germany,foreign,United Kingdom,English,7.946527,-1.023194
1,10/10/80,Croatia,bayern-muenchen,2017,2018,Bundesliga,Germany,foreign,Other Countries,Croatian,45.1,15.2
