name,date_of_birth,place_of_birth,team,season,season_start_year,season_end_year
Adriano,26/10/1984,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Aleix Vidal,21/08/1989,Spain,fc-barcelona,Season 2015/2016,2015,2016
Bartra,15/01/1991,Spain,fc-barcelona,Season 2015/2016,2015,2016
Dani Alves,06/05/1983,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Douglas,06/08/1990,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Jordi Alba,21/03/1989,Spain,fc-barcelona,Season 2015/2016,2015,2016
Javier Mascherano,08/06/1984,Argentina,fc-barcelona,Season 2015/2016,2015,2016
JÃ©rÃ©my Mathieu,29/10/1983,France,fc-barcelona,Season 2015/2016,2015,2016
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2015/2016,2015,2016
Thomas Vermaelen,14/11/1985,Belgium,fc-barcelona,Season 2015/2016,2015,2016
Busquets,16/07/1988,Spain,fc-barcelona,Season 2015/2016,2015,2016
Carles AleÃ±Ã¡,05/01/1998,Spain,fc-barcelona,Season 2015/2016,2015,2016
Gumbau,18/12/1994,Spain,fc-barcelona,Season 2015/2016,2015,2016
Iniesta,11/05/1984,Spain,fc-barcelona,Season 2015/2016,2015,2016
Juan CÃ¡mara,13/02/1994,Spain,fc-barcelona,Season 2015/2016,2015,2016
Wilfrid Kaptoum,07/07/1996,Cameroon,fc-barcelona,Season 2015/2016,2015,2016
Rafinha,12/02/1993,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Ivan RakitiÄ,10/03/1988,Croatia,fc-barcelona,Season 2015/2016,2015,2016
Samper,20/01/1995,Spain,fc-barcelona,Season 2015/2016,2015,2016
Sergi Roberto,07/02/1992,Spain,fc-barcelona,Season 2015/2016,2015,2016
Arda Turan,30/01/1987,Turkey,fc-barcelona,Season 2015/2016,2015,2016
Dani Romera,23/08/1995,Spain,fc-barcelona,Season 2015/2016,2015,2016
Lionel Messi,24/06/1987,Argentina,fc-barcelona,Season 2015/2016,2015,2016
Munir,01/09/1995,Spain,fc-barcelona,Season 2015/2016,2015,2016
Neymar,05/02/1992,Brazil,fc-barcelona,Season 2015/2016,2015,2016
Sandro,09/07/1995,Spain,fc-barcelona,Season 2015/2016,2015,2016
Luis SuÃ¡rez,24/01/1987,Uruguay,fc-barcelona,Season 2015/2016,2015,2016
Luis Enrique,08/05/1970,Spain,fc-barcelona,Season 2015/2016,2015,2016
BarbarÃ ,23/07/1966,Spain,fc-barcelona,Season 2015/2016,2015,2016
Robert Moreno,10/09/1977,Spain,fc-barcelona,Season 2015/2016,2015,2016
UnzuÃ©,22/04/1967,Spain,fc-barcelona,Season 2015/2016,2015,2016
De la Fuente,22/12/1970,Spain,fc-barcelona,Season 2015/2016,2015,2016
Claudio Bravo,13/04/1983,Chile,fc-barcelona,Season 2014/2015,2014,2015
Jordi Masip,03/01/1989,Spain,fc-barcelona,Season 2014/2015,2014,2015
Marc-AndrÃ© ter Stegen,30/04/1992,Germany,fc-barcelona,Season 2014/2015,2014,2015
Adriano,26/10/1984,Brazil,fc-barcelona,Season 2014/2015,2014,2015
Bartra,15/01/1991,Spain,fc-barcelona,Season 2014/2015,2014,2015
Dani Alves,06/05/1983,Brazil,fc-barcelona,Season 2014/2015,2014,2015
Douglas,06/08/1990,Brazil,fc-barcelona,Season 2014/2015,2014,2015
Edgar IÃ©,01/05/1994,Portugal,fc-barcelona,Season 2014/2015,2014,2015
Jordi Alba,21/03/1989,Spain,fc-barcelona,Season 2014/2015,2014,2015
MartÃ­n Montoya,14/04/1991,Spain,fc-barcelona,Season 2014/2015,2014,2015
Javier Mascherano,08/06/1984,Argentina,fc-barcelona,Season 2014/2015,2014,2015
JÃ©rÃ©my Mathieu,29/10/1983,France,fc-barcelona,Season 2014/2015,2014,2015
PiquÃ©,02/02/1987,Spain,fc-barcelona,Season 2014/2015,2014,2015
Thomas Vermaelen,14/11/1985,Belgium,fc-barcelona,Season 2014/2015,2014,2015
Busquets,16/07/1988,Spain,fc-barcelona,Season 2014/2015,2014,2015
Diawandou DiagnÃ©,08/11/1994,Senegal,fc-barcelona,Season 2014/2015,2014,2015
Gumbau,18/12/1994,Spain,fc-barcelona,Season 2014/2015,2014,2015
